y,x0,x1,x2,x3,x4,x5,x6
0.012,A0,A0,0.0,100.0,0,A0,A0
8.79,A1,A1,177.0,150.0,6,A1,A1
1.0,A2,A1,0.0,5.0,9,,A1
1.8,A3,A1,0.0,150.0,8,A2,A0
7.2,A2,A2,71.0,50.0,2,,A1
1.4,A0,A1,55.0,5.0,1,A0,A0
3.0,A3,A1,75.0,100.0,3,A2,A1
9.89,A4,A2,102.0,150.0,9,A1,A1
2.799,A1,A1,101.0,125.0,10,,A1
0.85,A5,A1,0.0,150.0,11,A1,A1
0.95,A6,,114.0,150.0,4,A1,A0
12.0,A1,A1,182.0,70.0,6,A2,A1
5.5,A3,A1,73.0,40.0,10,,A1
5.5,A6,A2,313.0,150.0,6,,A1
5.999,A5,A2,177.0,150.0,1,A1,A1
5.5,A3,A1,75.0,60.0,6,A2,A1
1.599,A3,A0,,125.0,9,A2,A1
2.9,A1,A2,170.0,150.0,9,A2,A1
4.95,A5,A1,129.0,150.0,3,A2,A1
1.5,A0,A1,101.0,150.0,7,,A0
0.99,A3,A0,0.0,150.0,9,A2,A1
3.6,A4,A1,105.0,150.0,12,A1,A1
4.6,A1,A2,222.0,150.0,2,A2,A1
3.0,A5,A1,116.0,150.0,2,,A0
0.18,A0,A1,71.0,150.0,12,,A2
4.9,A1,A1,110.0,100.0,3,A2,A1
3.3,A3,A1,75.0,125.0,6,A2,A1
24.0,A4,A2,140.0,100.0,4,,A1
1.6,A5,A1,90.0,150.0,5,A2,A0
1.65,A1,A1,90.0,150.0,1,A1,A1
0.35,A5,A1,90.0,150.0,4,A2,A1
4.7,A2,A1,109.0,40.0,7,A2,A1
0.699,A0,A1,0.0,150.0,3,A2,A0
1.299,A2,A1,90.0,150.0,12,A2,A1
9.9,A1,A1,122.0,80.0,7,A2,A1
9.99,A1,A1,122.0,125.0,9,A1,A1
0.0,A0,A0,90.0,150.0,0,A0,A0
3.299,A0,A2,0.0,150.0,4,A2,A0
124.999,A1,A2,570.0,40.0,4,A2,A1
3.1,A1,,102.0,150.0,4,,A1
2.9,A5,A1,150.0,150.0,12,A1,A1
0.6,A1,A1,120.0,150.0,2,A2,A1
6.5,A5,A1,150.0,150.0,4,A2,A0
3.8,A3,A1,69.0,150.0,2,A2,A1
5.9,A5,A1,70.0,125.0,4,A2,A1
2.699,A1,A1,200.0,150.0,1,A2,A1
3.95,A0,A1,140.0,150.0,6,A1,A2
0.0,A0,A1,,150.0,5,A0,A0
6.999,A0,A1,170.0,150.0,12,,A1
2.95,A4,A1,90.0,150.0,10,A1,A1
10.9,A1,A2,224.0,150.0,6,A1,A1
3.95,A1,A1,90.0,150.0,11,A2,A1
1.05,A5,A2,150.0,150.0,3,,A1
3.599,A3,A1,68.0,100.0,0,A2,A0
0.95,A0,A1,0.0,150.0,5,A2,A2
17.999,A4,A1,109.0,50.0,6,A1,A1
4.2,A5,A1,150.0,150.0,5,A1,A1
4.49,A5,A1,105.0,125.0,12,A2,A1
2.35,A5,A1,163.0,150.0,9,A1,A1
8.199,A3,A1,60.0,20.0,11,A2,A1
3.699,A3,A1,60.0,80.0,1,A2,A1
2.899,A0,A1,75.0,80.0,6,A2,A1
1.05,A5,A1,131.0,150.0,3,A2,A1
6.7,A5,A1,105.0,150.0,8,A1,A1
0.55,A1,A1,0.0,5.0,0,A2,A0
7.78,A5,A2,140.0,150.0,4,A1,A1
0.001,A1,A1,143.0,150.0,8,A2,A0
0.77,A3,A1,60.0,125.0,7,A2,A1
2.3,A0,A1,102.0,150.0,1,A0,A0
3.999,A5,A2,204.0,150.0,3,,A1
2.5,A1,A1,77.0,150.0,6,A2,A1
0.49,A5,A1,0.0,150.0,0,A2,A0
0.799,A3,A1,75.0,150.0,5,A2,A1
0.999,A3,A1,52.0,150.0,3,A2,A1
8.5,A6,A1,,150.0,0,A1,A1
1.4,A0,A0,0.0,150.0,12,A1,A0
1.499,A0,A1,75.0,150.0,12,A2,A1
0.5,A1,A1,75.0,80.0,1,,A0
0.5,A3,A1,75.0,150.0,12,A2,A1
12.5,A2,A1,102.0,30.0,3,A2,A1
6.0,A1,A2,177.0,125.0,8,A1,A1
11.9,A1,A1,170.0,150.0,2,,A1
3.99,A1,A1,163.0,125.0,11,A2,A1
0.85,A1,A2,175.0,150.0,9,A2,A1
4.8,A1,A1,101.0,125.0,7,,A1
1.9,A4,A1,107.0,150.0,4,A2,A0
1.95,A3,A1,58.0,90.0,2,A2,A2
3.0,A0,A1,102.0,150.0,0,,A1
1.49,A5,A2,170.0,150.0,7,A2,A1
3.7,A4,A1,116.0,150.0,10,,A1
0.4,A3,A1,58.0,150.0,10,A2,A1
9.99,A5,A1,120.0,150.0,1,A1,A1
0.7,A4,A1,113.0,150.0,1,A1,A1
0.799,A3,A1,80.0,150.0,12,A2,A1
2.499,A4,A1,78.0,150.0,12,A1,A1
3.399,A3,A1,80.0,125.0,5,A2,A1
19.9,A2,A1,231.0,70.0,1,A2,A1
0.3,A5,A1,107.0,150.0,10,,A1
5.19,A3,A1,86.0,80.0,12,A2,A1
29.9,A2,A2,387.0,150.0,10,A2,A1
2.2,A5,A2,116.0,150.0,1,A1,A1
1.0,A2,A1,89.0,150.0,5,A2,A1
1.95,A0,A0,,150.0,6,,A0
5.0,A1,A0,110.0,150.0,8,,A1
8.999,A7,A1,204.0,150.0,4,A1,A1
9.8,A6,A2,0.0,150.0,8,,A1
1.85,A0,A1,0.0,150.0,3,A1,A0
1.9,A3,A1,87.0,150.0,2,,A1
1.4,A5,A1,0.0,150.0,0,A2,A0
3.998,A3,A1,82.0,125.0,10,,A1
3.55,A3,A1,75.0,80.0,10,A2,A1
1.1,A1,A1,75.0,125.0,1,A2,A1
3.5,A8,A1,0.0,150.0,12,A1,A0
23.0,A6,A2,190.0,80.0,9,A1,A1
3.5,A7,A2,193.0,150.0,8,A2,A1
7.4,A4,A1,120.0,100.0,2,A1,A1
16.99,A6,A1,140.0,30.0,6,A2,A1
0.6,A3,A2,60.0,100.0,11,,A2
17.5,A6,A1,184.0,40.0,4,A0,A1
12.5,A6,A1,150.0,125.0,10,A2,A1
8.9,A5,A2,177.0,150.0,2,A1,A1
16.8,A5,A2,204.0,150.0,12,A1,A1
47.5,A2,A1,400.0,60.0,5,A2,A1
4.1,A7,A2,145.0,150.0,9,A1,A1
1.75,A3,A1,65.0,150.0,12,A2,A1
0.25,A0,A1,90.0,150.0,3,A2,A1
9.5,A1,A1,131.0,150.0,10,A2,A1
1.0,A1,A1,,150.0,4,A2,A1
0.38,A5,A1,95.0,150.0,10,A2,A2
1.0,A1,A2,125.0,125.0,12,,A1
5.8,A4,A1,85.0,125.0,8,,A1
0.6,A3,A0,58.0,150.0,1,A2,A1
3.5,A1,A1,150.0,150.0,6,A2,A1
4.5,A0,A1,200.0,150.0,0,A2,A0
0.0,A0,A1,105.0,150.0,2,A2,A1
7.99,A5,A1,109.0,80.0,8,A2,A1
1.799,A5,A1,131.0,150.0,5,A1,A1
0.75,A3,A1,72.0,150.0,6,,A0
2.7,A5,A1,86.0,125.0,12,A1,A1
0.45,A7,A2,136.0,150.0,7,A0,A0
1.9,A5,A1,,150.0,7,,A1
7.0,A4,A2,150.0,150.0,5,A1,A1
4.4,A1,A1,105.0,150.0,8,A1,A1
1.0,A0,A1,90.0,150.0,9,A0,A1
0.95,A1,A1,75.0,150.0,1,,A1
1.1,A3,A1,60.0,150.0,5,A2,A1
4.5,A5,A1,105.0,150.0,11,,A1
17.5,A2,A1,143.0,100.0,9,A1,A1
8.9,A5,A2,140.0,125.0,7,A1,A1
0.0,A3,A1,0.0,150.0,0,A0,A0
7.8,A3,A1,200.0,150.0,9,A2,A1
1.4,A5,A1,125.0,150.0,0,A2,A1
1.0,A3,A1,50.0,125.0,3,A2,A1
12.65,A4,A1,107.0,40.0,7,A1,A1
4.999,A2,A1,136.0,150.0,4,,A0
10.0,A6,A1,0.0,5.0,0,A2,A0
21.0,A1,A2,507.0,150.0,3,A2,A1
3.15,A5,A1,131.0,150.0,4,A3,A2
9.399,A5,A1,105.0,150.0,3,A1,A1
1.2,A4,A1,0.0,150.0,3,A2,A1
0.85,A3,A1,67.0,150.0,8,A1,A1
2.1,A5,A2,193.0,150.0,4,A2,A1
1.0,A1,A1,122.0,150.0,6,A0,A1
7.9,A4,A1,90.0,90.0,11,A1,A1
6.5,A1,,116.0,125.0,4,A2,A1
11.9,A4,A1,,150.0,5,A1,A2
6.7,A1,A2,170.0,30.0,6,A2,A1
6.8,A5,A1,140.0,150.0,5,A1,A1
0.5,A1,A1,122.0,150.0,0,,A2
1.19,A3,A1,60.0,70.0,9,,A0
0.0,A0,A1,100.0,150.0,1,A1,A0
2.0,A3,A1,60.0,150.0,3,A0,A1
5.3,A7,A1,400.0,150.0,7,,A1
0.95,A1,A1,75.0,150.0,2,A2,A1
27.6,A2,A2,328.0,30.0,4,A2,A1
16.65,A7,A1,218.0,60.0,6,A2,A1
2.2,A3,A1,60.0,90.0,3,A2,A1
2.65,A5,A1,105.0,150.0,6,A2,A1
0.55,A0,A0,136.0,150.0,5,A1,A0
1.0,A1,A1,107.0,150.0,2,A2,A1
1.25,A4,A1,,150.0,10,A1,A1
28.5,A5,A2,200.0,30.0,8,A1,A1
4.75,A4,A1,150.0,150.0,8,A1,A1
3.75,A1,A1,143.0,150.0,7,A3,A1
1.7,A3,A1,60.0,90.0,3,,A2
10.4,A7,A1,90.0,80.0,3,A2,A1
4.2,A3,A1,0.0,125.0,3,A2,A0
2.5,A5,A0,0.0,150.0,0,A1,A0
6.98,A1,A2,185.0,150.0,10,,A1
0.5,A1,A1,105.0,100.0,10,A2,A2
0.35,A3,A1,44.0,150.0,4,,A0
3.0,A5,A2,250.0,150.0,11,A2,A1
5.5,A3,A1,45.0,90.0,1,A2,A1
0.25,A0,A1,0.0,125.0,3,A2,A1
8.999,A0,A1,60.0,50.0,12,A2,A1
0.0,A0,A0,0.0,5.0,0,A0,A0
1.4,A3,A1,75.0,150.0,8,A2,A1
2.6,A5,A1,75.0,150.0,3,A2,A1
0.95,A3,A1,61.0,150.0,1,A2,A0
9.35,A6,A2,174.0,150.0,12,A1,A0
0.199,A3,A1,75.0,150.0,0,A2,A0
1.89,A3,A1,69.0,150.0,12,A1,A1
2.95,A1,A1,105.0,125.0,4,A2,A1
7.95,A5,A1,170.0,150.0,6,A1,A1
7.49,A1,A1,150.0,150.0,0,,A1
2.999,A1,A1,235.0,150.0,3,A2,A1
3.3,A6,A1,,150.0,5,A1,A1
0.299,A0,A0,0.0,5.0,0,A0,A0
5.299,A2,A1,150.0,150.0,7,A2,A1
0.59,A3,A1,0.0,150.0,0,A0,A1
0.0,A0,A0,0.0,150.0,0,A0,A0
2.0,A5,A2,174.0,150.0,10,A2,A0
2.1,A3,A1,58.0,150.0,2,,A1
4.2,A5,A1,109.0,150.0,4,A1,A1
5.0,A1,A1,60.0,80.0,11,A2,A1
3.5,A1,A1,105.0,150.0,5,A2,A1
3.4,A7,A1,170.0,150.0,7,A2,A1
4.5,A3,A1,77.0,100.0,2,,A1
0.2,A0,A0,0.0,5.0,0,A0,A0
2.8,A7,A1,140.0,150.0,1,A2,A1
12.999,A7,A1,130.0,60.0,3,,A0
4.299,A5,A1,193.0,150.0,3,,A1
0.35,A3,A0,0.0,150.0,0,A2,A0
0.6,A1,A1,0.0,150.0,2,A2,A0
6.85,A6,A2,184.0,150.0,9,A1,A1
9.38,A7,A1,160.0,125.0,12,A2,A1
10.5,A1,A2,218.0,150.0,6,,A1
2.399,A4,A1,105.0,150.0,10,,A0
5.39,A1,A1,170.0,100.0,6,A2,A1
0.2,A3,A1,0.0,150.0,8,A2,A0
13.99,A2,A2,224.0,150.0,7,A2,A1
0.333,A5,A1,116.0,150.0,5,A2,A2
1.5,A3,A2,60.0,40.0,11,A2,A1
9.7,A5,A2,224.0,150.0,12,,A1
0.07,A3,A1,45.0,125.0,3,,A2
12.5,A6,A2,340.0,150.0,4,A2,A1
